"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Weapon","Post","District","Neighborhood","Location.1","Total.Incidents"
"733","03/24/2012",2312,"1F","800 W FAYETTE ST","HOMICIDE","FIREARM",712,"WESTERN","Poppleton","(39.29008, -76.62956)",1
"734","03/23/2012",2300,"1F","500 E 21ST ST","HOMICIDE","FIREARM",311,"EASTERN","East Baltimore Midway","(39.31356, -76.60934)",1
"735","03/21/2012",2333,"1F","1400 TRACTION ST","HOMICIDE","FIREARM",733,"WESTERN","Penn North","(39.31198, -76.64116)",1
"736","03/20/2012",2129,"1F","1800 ASHBURTON ST","HOMICIDE","FIREARM",735,"WESTERN","Coppin Heights/Ash-Co-East","(39.30824, -76.66223)",1
"737","03/19/2012",2037,"1F","6400 E PRATT ST","HOMICIDE","FIREARM",232,"SOUTHEASTERN","Hopkins Bayview","(39.29048, -76.53914)",1
"738","03/16/2012",1553,"1F","2300 E CHASE ST","HOMICIDE","FIREARM",323,"EASTERN","Biddle Street","(39.30363, -76.58497)",1
"739","03/16/2012",2305,"1F","3500 W BELVEDERE AV","HOMICIDE","FIREARM",633,"NORTHWESTERN","Arlington","(39.34714, -76.679)",1
"740","03/13/2012",2110,"1F","900 N PORT ST","HOMICIDE","FIREARM",323,"EASTERN","Milton-Montford","(39.30127, -76.5832)",1
"741","03/10/2012",101,"1F","1000 E HOFFMAN ST","HOMICIDE","FIREARM",313,"EASTERN","Oliver","(39.30609, -76.60361)",1
"742","03/07/2012",2331,"1F","2200 W NORTH AV","HOMICIDE","FIREARM",735,"WESTERN","Mondawmin","(39.30967, -76.65291)",1
"743","03/05/2012",2132,"1F","3500 W MULBERRY ST","HOMICIDE","FIREARM",815,"SOUTHWESTERN","Allendale","(39.29186, -76.67648)",1
"744","03/05/2012",2132,"1F","3500 W MULBERRY ST","HOMICIDE","FIREARM",815,"SOUTHWESTERN","Allendale","(39.29186, -76.67648)",1
"745","03/04/2012",228,"1F","4500 MARBLE HALL RD","HOMICIDE","FIREARM",421,"NORTHEASTERN","New Northwood","(39.34495, -76.59712)",1
"746","03/04/2012",1749,"1F","1600 DARLEY AV","HOMICIDE","FIREARM",312,"EASTERN","Darley Park","(39.31472, -76.59451)",1
"747","03/04/2012",2331,"1F","400 OXFORD CT","HOMICIDE","FIREARM",123,"CENTRAL","Upton","(39.30093, -76.62434)",1
"748","02/29/2012",2101,"1F","4500 WINDSOR MILL RD","HOMICIDE","FIREARM",821,"SOUTHWESTERN","Wakefield","(39.31306, -76.69127)",1
"749","02/27/2012",2232,"1O","3400 CALLAWAY AV","HOMICIDE","OTHER",625,"NORTHWESTERN","Ashburton","(39.32742, -76.67824)",1
"750","02/25/2012",101,"1K","400 N KENWOOD AV","HOMICIDE","KNIFE",221,"SOUTHEASTERN","McElderry Park","(39.29592, -76.57788)",1
"751","02/23/2012",1125,"1F","2200 N FULTON AV","HOMICIDE","FIREARM",736,"WESTERN","Parkview/Woodbrook","(39.3133, -76.64624)",1
